Date,Open,High,Low,Close,Volume
2020-02-20,114.4,115.86,112.62,114.73,529576
2020-02-21,115.49,116.77,113.9,117.96,559883
2020-02-22,115.81,116.75,114.3,115.33,745573
2020-02-23,116.08,117.41,115.19,116.1,639799
2020-02-24,116.96,117.78,115.39,116.89,833410
2020-02-25,116.53,117.88,115.96,115.08,579015
2020-02-26,115.58,116.25,114.82,116.16,46729
2020-02-27,115.18,115.86,113.31,115.83,139987
2020-02-28,115.16,115.77,113.25,114.42,487098
2020-02-29,115.92,116.86,114.87,113.67,777930
2020-03-01,117.13,119.1,116.57,116.3,544765
2020-03-02,117.62,119.55,116.51,118.18,169416
2020-03-03,117.7,119.42,116.66,115.2,761203
2020-03-04,117.91,118.65,117.01,117.88,192885
2020-03-05,117.15,118.19,115.5,117.07,671513
2020-03-06,116.69,117.54,115.42,117.21,466255
2020-03-07,116.75,118.36,115.92,117.01,128453
2020-03-08,119.58,121.46,118.81,118.95,940751
2020-03-09,117.15,117.66,116.16,116.5,126782
2020-03-10,116.73,118.53,116.07,117.25,490862
2020-03-11,117.99,119.19,116.74,118.97,817614
2020-03-12,118.29,119.32,116.53,118.68,384638
2020-03-13,117.43,118.39,115.59,116.48,212563
2020-03-14,115.97,117.41,115.0,114.63,455309
2020-03-15,116.08,117.77,115.17,115.96,185781
2020-03-16,117.57,118.65,116.13,116.93,972968
2020-03-17,118.14,120.03,117.33,119.26,704681
2020-03-18,118.21,119.98,116.23,115.77,879537
2020-03-19,119.77,121.5,118.94,119.67,47804
2020-03-20,118.19,119.81,116.36,118.47,477788
2020-03-21,118.34,119.56,117.64,118.61,305831
2020-03-22,118.55,120.13,116.91,120.23,69437
2020-03-23,120.55,122.35,119.46,119.94,175965
2020-03-24,119.43,120.46,117.69,120.54,78628
2020-03-25,118.97,120.31,117.32,119.18,342525
2020-03-26,119.13,121.03,118.55,117.77,955216
2020-03-27,119.8,120.41,118.44,118.78,350279
2020-03-28,117.99,119.16,116.16,119.12,279477
2020-03-29,117.9,119.03,116.44,117.3,41756
2020-03-30,118.9,119.54,117.04,120.32,732798
2020-03-31,117.62,119.45,116.59,118.75,128482
2020-04-01,118.74,119.69,117.62,120.04,452358
2020-04-02,119.9,121.89,119.11,121.52,706795
2020-04-03,120.77,122.25,119.31,120.44,816128
2020-04-04,119.66,120.82,118.5,119.32,141945
2020-04-05,119.54,120.85,117.89,119.62,279070
2020-04-06,120.93,122.75,120.0,121.69,209520
2020-04-07,119.54,121.51,117.95,118.94,45159
2020-04-08,118.89,120.08,117.33,116.86,691575
2020-04-09,119.16,119.72,117.22,118.98,380210
2020-04-10,118.64,120.54,117.08,118.85,236990
2020-04-11,117.74,119.63,116.82,118.15,837911
2020-04-12,117.01,118.64,116.3,117.47,771927
2020-04-13,117.72,119.3,116.59,116.45,477254
2020-04-14,117.93,119.89,116.06,119.35,453300
2020-04-15,117.56,119.49,115.69,117.42,636966
2020-04-16,116.97,117.98,115.98,117.84,751894
2020-04-17,117.92,119.62,116.84,115.8,635737
2020-04-18,118.44,119.05,117.1,118.52,774661
2020-04-19,117.19,118.26,116.04,117.64,190426
2020-04-20,118.17,119.57,117.04,117.95,461159
2020-04-21,116.86,118.29,115.16,117.51,579366
2020-04-22,114.73,116.35,113.58,114.81,410148
2020-04-23,115.47,117.4,114.79,115.14,843022
2020-04-24,116.05,117.14,115.41,115.96,274143
2020-04-25,116.41,117.5,115.29,117.21,919124
2020-04-26,116.51,117.03,115.85,117.43,652528
2020-04-27,116.59,117.99,114.65,118.77,377591
2020-04-28,117.9,119.21,117.31,117.41,665914
2020-04-29,118.38,119.31,117.69,118.64,477251
2020-04-30,118.72,119.76,117.31,118.64,123089
2020-05-01,118.47,119.97,117.42,116.37,589975
2020-05-02,118.22,119.86,116.66,117.4,854993
2020-05-03,117.74,119.44,116.95,118.59,213431
2020-05-04,118.64,120.48,117.95,119.41,602423
2020-05-05,119.4,121.29,117.46,120.15,672754
2020-05-06,119.35,119.94,117.67,118.54,727525
2020-05-07,119.56,120.86,118.14,118.48,619487
2020-05-08,120.17,121.13,118.93,119.67,684413
2020-05-09,119.23,121.13,118.39,118.8,128495
2020-05-10,119.28,120.89,117.85,120.74,68072
2020-05-11,119.65,121.06,118.36,119.04,435373
2020-05-12,120.96,121.66,119.56,121.54,982078
2020-05-13,119.5,120.09,118.45,118.1,420567
2020-05-14,119.35,121.32,117.59,118.15,157343
2020-05-15,117.1,118.56,115.75,116.82,791408
2020-05-16,116.75,117.97,115.36,115.49,432878
2020-05-17,118.95,119.57,117.57,119.75,216300
2020-05-18,117.04,118.88,115.27,116.63,289714
2020-05-19,117.59,118.77,116.59,116.21,329708
2020-05-20,119.13,120.5,117.36,117.49,301763
2020-05-21,121.13,121.84,120.12,121.82,773715
2020-05-22,120.95,122.5,120.28,120.59,120508
2020-05-23,121.4,123.14,120.68,121.83,668379
2020-05-24,121.95,122.89,120.81,121.21,22749
2020-05-25,122.17,124.17,120.59,125.31,768909
2020-05-26,123.13,125.1,121.78,122.21,624604
2020-05-27,120.55,121.69,119.94,120.83,954430
2020-05-28,120.87,121.82,120.09,120.27,66650
2020-05-29,119.69,120.42,118.07,120.72,363596
2020-05-30,120.23,122.05,118.94,121.09,406591
2020-05-31,121.56,123.02,119.83,122.96,847625
2020-06-01,123.2,124.46,122.67,123.17,735238
2020-06-02,123.81,124.41,122.9,123.58,846822
2020-06-03,123.51,124.77,122.26,122.73,585096
2020-06-04,123.8,125.78,122.3,122.48,286150
2020-06-05,121.29,122.35,120.16,121.8,157637
2020-06-06,122.88,124.82,121.9,122.26,584941
2020-06-07,122.76,123.76,120.94,125.52,148667
2020-06-08,121.56,122.97,120.96,121.65,587739
2020-06-09,123.32,124.83,121.6,123.31,673789
2020-06-10,122.26,124.02,121.63,122.55,438864
2020-06-11,123.05,125.01,122.42,123.55,559723
2020-06-12,121.65,122.53,120.41,119.94,815048
2020-06-13,120.99,122.03,119.51,120.63,279223
2020-06-14,122.34,124.16,121.73,122.27,399096
2020-06-15,122.81,124.35,121.37,121.72,770479
2020-06-16,123.61,124.66,122.49,124.11,610978
2020-06-17,122.98,124.29,121.42,123.4,762365
2020-06-18,121.08,122.75,119.21,120.06,938131
2020-06-19,120.74,122.56,119.19,122.09,287858
2020-06-20,120.65,121.38,119.01,122.49,76072
2020-06-21,120.4,121.53,119.69,119.29,942954
2020-06-22,120.27,121.66,118.47,120.47,140469
2020-06-23,119.63,121.25,118.09,119.42,253470
2020-06-24,119.3,120.87,117.87,120.35,739271
2020-06-25,119.36,120.23,117.53,118.12,538082
2020-06-26,118.63,119.55,117.75,120.62,436488
2020-06-27,118.66,120.2,117.4,118.23,491582
2020-06-28,119.08,120.36,117.62,118.95,983129
2020-06-29,118.65,119.21,117.57,118.61,749334
2020-06-30,120.0,121.84,119.33,120.27,264385
2020-07-01,119.99,120.52,118.89,120.97,728373
2020-07-02,121.42,122.76,120.06,120.59,27944
2020-07-03,122.06,123.79,121.28,122.0,555954
2020-07-04,123.76,125.15,122.5,124.62,571221
2020-07-05,125.44,126.35,123.53,124.85,694046
2020-07-06,125.42,126.41,123.67,125.65,868875
2020-07-07,124.97,126.12,124.46,125.17,329549
2020-07-08,125.71,127.06,123.76,125.0,459759
2020-07-09,126.07,128.04,124.87,125.89,94859
2020-07-10,125.76,127.29,124.84,126.79,114768
2020-07-11,128.23,129.92,126.35,128.13,377992
2020-07-12,130.93,131.45,129.31,131.89,24765
2020-07-13,131.21,132.95,130.58,130.94,348134
2020-07-14,131.62,132.28,130.01,130.95,373841
2020-07-15,132.05,133.56,130.81,131.09,667468
2020-07-16,131.68,133.44,129.87,132.87,269608
2020-07-17,132.29,132.93,131.65,132.32,386955
2020-07-18,132.95,134.26,131.01,133.54,189832
2020-07-19,132.7,134.31,130.81,132.49,842536
2020-07-20,130.94,132.7,130.27,130.19,671778
2020-07-21,129.59,130.14,128.48,129.41,810750
2020-07-22,130.59,132.55,128.68,130.49,18877
2020-07-23,129.59,131.29,127.79,129.96,269385
2020-07-24,129.59,131.42,128.16,129.2,585557
2020-07-25,128.5,130.06,127.41,128.59,936779
2020-07-26,128.57,130.01,128.0,129.11,408849
2020-07-27,128.44,130.33,126.91,125.62,28393
2020-07-28,127.39,128.24,126.33,128.44,634372
2020-07-29,126.13,127.26,125.39,124.63,904478
2020-07-30,127.63,129.59,126.27,128.67,988144
2020-07-31,128.16,129.21,127.63,128.53,124495
2020-08-01,128.38,129.14,127.51,128.61,422758
2020-08-02,127.57,128.95,126.22,127.11,599607
2020-08-03,128.26,129.73,126.35,130.02,239218
2020-08-04,128.37,130.23,126.61,129.88,322980
2020-08-05,128.94,129.93,128.14,127.12,269991
2020-08-06,130.49,131.46,129.87,129.64,310687
2020-08-07,130.09,131.91,129.47,130.35,288741
2020-08-08,130.89,131.73,129.07,131.15,262297
2020-08-09,130.71,131.58,129.1,130.58,187503
2020-08-10,129.96,131.33,128.32,128.96,706907
2020-08-11,130.32,131.49,129.17,130.13,819682
2020-08-12,131.28,131.89,130.43,130.3,355032
2020-08-13,130.85,131.57,129.26,131.61,73632
2020-08-14,129.18,130.09,128.07,126.85,79348
2020-08-15,129.03,130.5,128.09,129.66,294367
2020-08-16,130.54,131.98,128.86,131.35,248216
2020-08-17,129.73,130.34,128.25,129.23,991152
2020-08-18,131.49,132.76,129.54,131.99,180321
2020-08-19,132.34,133.69,130.59,131.91,527052
2020-08-20,133.14,134.71,131.47,134.51,307676
2020-08-21,134.43,136.28,132.77,133.79,845798
2020-08-22,134.28,135.65,132.33,134.99,836955
2020-08-23,135.07,136.73,133.98,136.0,140616
2020-08-24,134.05,135.48,133.03,133.42,582540
2020-08-25,133.76,134.63,132.96,134.05,833605
2020-08-26,132.35,134.32,130.68,132.53,287768
2020-08-27,132.89,134.04,131.18,131.85,134830
2020-08-28,131.08,131.75,129.84,131.45,926548
2020-08-29,131.09,132.89,129.73,131.08,187265
2020-08-30,131.64,133.44,130.29,131.88,687021
2020-08-31,131.76,132.87,130.62,132.87,375335
2020-09-01,131.66,133.46,129.9,133.59,631614
2020-09-02,132.12,133.16,130.88,132.45,215060
2020-09-03,129.88,131.05,129.25,130.57,818035
2020-09-04,129.85,130.7,129.31,130.01,709838
2020-09-05,129.5,130.36,128.76,130.24,982576
2020-09-06,130.88,131.53,128.9,131.59,291754
2020-09-07,131.66,132.31,130.79,131.65,574334
2020-09-08,131.52,133.3,130.54,131.3,923060
2020-09-09,132.68,134.66,131.32,132.32,181595
2020-09-10,132.03,132.59,130.42,132.12,726033
2020-09-11,133.04,133.57,132.09,131.37,815830
2020-09-12,134.85,136.82,133.42,135.65,40365
2020-09-13,134.19,134.72,133.03,135.53,289205
2020-09-14,133.97,135.65,132.35,132.05,516315
2020-09-15,133.06,133.72,131.69,133.03,408042
2020-09-16,133.56,135.47,132.39,131.92,963613
2020-09-17,132.47,133.52,131.55,134.13,70937
2020-09-18,132.78,133.3,130.99,133.33,139947
2020-09-19,132.3,133.58,131.25,134.29,771025
2020-09-20,132.89,134.02,131.77,133.29,541695
2020-09-21,132.94,134.39,132.13,135.04,256017
2020-09-22,134.9,135.43,134.37,135.46,828979
2020-09-23,135.7,136.83,134.88,134.66,274987
2020-09-24,136.07,137.94,135.11,135.42,265698
2020-09-25,134.85,136.33,132.95,135.17,531332
2020-09-26,134.05,135.97,132.42,133.75,849290
2020-09-27,131.47,132.42,130.45,130.98,807112
2020-09-28,133.05,133.64,131.35,132.88,824280
2020-09-29,133.42,135.32,132.49,133.33,852713
2020-09-30,132.48,133.36,130.51,130.9,49246
2020-10-01,132.01,132.97,131.0,131.98,426110
2020-10-02,132.04,134.02,130.2,131.79,941153
2020-10-03,133.12,133.91,131.98,132.66,989885
2020-10-04,133.25,134.97,132.23,131.88,767444
2020-10-05,132.69,134.58,131.89,131.93,613411
2020-10-06,132.44,133.06,131.46,132.41,490925
2020-10-07,133.04,134.43,132.18,131.26,10389
2020-10-08,133.56,135.44,131.9,133.26,70726
2020-10-09,130.0,131.67,129.42,129.71,705006
2020-10-10,131.51,132.32,130.78,130.24,791551
2020-10-11,132.19,133.21,131.61,130.81,517426
2020-10-12,131.88,133.52,130.94,132.14,586950
2020-10-13,132.26,133.45,130.7,133.04,50888
2020-10-14,131.45,132.31,129.46,132.46,568763
2020-10-15,130.91,132.12,129.78,131.14,513073
2020-10-16,129.69,131.34,128.21,130.13,946631
2020-10-17,130.32,131.86,129.0,130.43,269284
2020-10-18,130.28,131.27,129.64,131.12,315783
2020-10-19,130.6,131.25,130.03,129.72,411230
2020-10-20,129.5,130.61,128.4,130.22,789245
2020-10-21,131.38,132.32,129.75,131.01,850537
2020-10-22,131.48,132.24,130.3,130.68,991103
2020-10-23,131.06,131.65,129.22,132.94,586960
2020-10-24,131.65,132.83,130.19,129.26,569564
2020-10-25,132.52,134.25,131.6,131.55,490472
2020-10-26,133.28,134.84,132.64,135.19,467225
2020-10-27,132.42,133.69,131.05,131.63,963539
2020-10-28,132.47,133.74,131.27,133.15,431093
2020-10-29,132.75,134.36,132.16,131.19,25726
2020-10-30,134.43,135.31,132.71,134.28,34486
2020-10-31,134.06,135.01,133.44,133.11,918533
2020-11-01,133.28,134.51,131.86,133.66,702722
2020-11-02,131.6,132.13,130.73,130.95,312000
2020-11-03,130.78,131.47,129.16,131.3,732420
2020-11-04,131.76,133.53,129.95,132.97,532913
2020-11-05,132.97,134.33,131.03,131.41,835750
2020-11-06,133.25,133.87,131.92,130.69,350471
2020-11-07,134.81,135.79,133.12,133.95,681495
2020-11-08,134.2,135.11,133.7,133.34,445957
2020-11-09,133.54,135.36,131.59,133.52,576282
2020-11-10,133.2,134.17,131.61,133.12,340119
2020-11-11,134.97,136.19,133.86,135.96,180878
2020-11-12,135.33,136.85,134.04,134.81,735396
2020-11-13,134.24,135.62,132.38,133.28,638523
2020-11-14,133.48,134.75,132.74,135.58,157367
2020-11-15,133.04,134.03,131.64,132.22,615404
2020-11-16,133.93,135.65,133.25,133.6,58884
2020-11-17,133.38,133.92,132.12,133.67,424507
2020-11-18,132.52,133.12,131.26,131.85,475493
2020-11-19,134.64,135.35,132.79,133.68,674642
2020-11-20,134.38,135.52,132.96,134.32,734719
2020-11-21,134.13,135.68,132.95,135.15,85201
2020-11-22,134.1,135.44,132.44,135.28,452034
2020-11-23,134.33,135.47,133.06,133.38,798885
2020-11-24,132.98,134.75,131.95,133.07,430833
2020-11-25,133.14,134.17,132.12,132.39,307023
2020-11-26,132.88,133.4,131.45,134.17,555253
2020-11-27,132.56,133.17,131.52,133.71,492463
2020-11-28,134.42,134.95,133.82,133.76,931391
2020-11-29,135.38,136.09,133.74,135.16,472575
2020-11-30,134.73,136.19,133.96,135.24,79295
2020-12-01,135.26,136.0,133.45,136.24,490616
2020-12-02,135.43,136.05,134.44,134.86,167772
2020-12-03,135.73,136.77,133.82,133.79,758552
2020-12-04,136.4,138.25,135.2,133.85,235825
2020-12-05,136.25,137.95,134.58,138.04,915205
2020-12-06,137.09,138.96,136.46,135.93,545682
2020-12-07,136.15,137.56,134.75,136.97,129326
2020-12-08,135.18,136.31,134.19,134.28,705977
2020-12-09,137.42,139.0,136.62,138.03,801509
2020-12-10,137.51,138.42,135.62,138.26,789840
2020-12-11,137.67,138.71,136.95,139.29,826367
2020-12-12,138.0,138.74,136.42,137.44,909042
2020-12-13,138.15,138.79,137.55,137.17,344067
2020-12-14,137.85,139.79,137.03,137.61,729055
2020-12-15,138.24,139.6,136.42,138.69,660021
2020-12-16,138.27,139.38,137.16,137.25,515835
2020-12-17,138.75,139.67,137.58,138.9,710180
2020-12-18,140.1,142.07,139.35,139.06,796060
2020-12-19,142.04,143.33,141.52,143.37,487897
2020-12-20,143.96,144.51,142.29,145.92,615320
2020-12-21,146.38,147.49,145.6,146.54,99832
2020-12-22,147.06,148.45,146.06,148.68,965666
2020-12-23,147.47,148.05,145.78,146.9,641612
2020-12-24,145.73,147.48,144.03,143.69,179626
2020-12-25,144.22,145.02,143.57,144.9,435401
2020-12-26,144.49,146.01,143.85,144.51,96547
2020-12-27,145.38,146.28,143.9,144.57,550067
2020-12-28,145.2,147.16,144.66,142.44,41106
2020-12-29,144.18,145.53,142.48,144.85,466229
2020-12-30,144.96,145.58,144.09,143.0,768914
2020-12-31,144.5,146.48,143.38,145.45,506771
2021-01-01,144.65,145.85,143.78,144.03,13668
2021-01-02,143.62,144.71,142.84,144.08,67351
2021-01-03,144.65,145.37,143.76,144.51,896203
2021-01-04,144.58,146.29,143.65,144.26,636037
2021-01-05,144.28,146.18,142.71,143.27,628951
2021-01-06,144.99,146.65,144.15,145.54,917781
2021-01-07,143.3,144.88,142.34,143.0,197982
2021-01-08,142.76,143.3,141.67,143.86,245504
2021-01-09,143.85,145.83,142.95,143.44,964477
2021-01-10,142.55,143.86,141.73,142.59,905190
2021-01-11,143.54,144.35,142.59,145.09,494384
2021-01-12,143.3,144.7,142.04,143.47,991496
2021-01-13,144.82,145.4,144.31,144.48,574634
2021-01-14,144.74,146.04,143.8,144.68,454857
2021-01-15,146.46,147.72,145.9,146.44,955255
2021-01-16,147.33,148.8,145.93,147.28,743708
2021-01-17,146.34,147.85,145.7,145.18,243343
2021-01-18,147.86,148.44,146.35,146.95,624951
2021-01-19,147.39,148.65,146.56,147.6,172863
2021-01-20,148.07,149.67,147.2,147.31,80185
2021-01-21,149.42,150.61,148.26,151.75,965282
2021-01-22,150.77,151.34,149.8,149.73,755379
2021-01-23,150.87,151.59,149.18,149.2,270779
2021-01-24,152.97,153.66,151.35,153.87,702422
2021-01-25,152.39,153.65,151.79,150.34,900834
2021-01-26,152.5,154.22,151.83,152.11,892080
2021-01-27,152.72,153.5,151.15,153.11,731500
2021-01-28,153.85,154.42,152.57,154.82,926863
2021-01-29,154.54,155.83,154.04,154.53,888954
2021-01-30,153.39,154.63,152.01,153.19,906340
2021-01-31,153.81,155.78,152.17,154.52,382898
2021-02-01,155.52,156.95,154.46,155.54,117801
2021-02-02,154.62,156.21,153.53,153.44,462974
2021-02-03,154.54,156.39,153.46,153.27,696720
2021-02-04,154.3,155.66,153.16,155.5,63421
2021-02-05,154.99,156.71,153.27,154.41,794383
2021-02-06,153.58,154.64,152.46,152.22,84867
2021-02-07,152.36,153.78,151.53,151.43,327981
2021-02-08,152.87,153.43,151.21,152.84,215239
2021-02-09,152.58,153.44,150.89,154.19,144852
2021-02-10,151.13,152.1,149.97,151.82,352901
2021-02-11,150.53,151.2,149.21,152.0,90792
2021-02-12,151.07,151.58,149.59,151.74,664984
2021-02-13,152.63,154.46,151.64,153.46,960415
2021-02-14,154.04,154.77,153.02,155.42,487850
2021-02-15,153.17,154.74,151.31,154.09,328632
2021-02-16,153.46,155.44,152.85,153.21,490047
2021-02-17,156.5,158.06,154.83,157.23,700390
2021-02-18,156.44,158.06,155.37,156.17,308578
2021-02-19,157.83,158.68,157.08,157.93,809348
2021-02-20,158.16,158.97,157.32,160.16,489490
2021-02-21,157.26,158.47,155.92,157.02,327657
2021-02-22,155.75,156.39,154.98,154.87,582413
2021-02-23,155.11,156.48,154.45,155.45,634981
2021-02-24,154.87,156.65,154.2,154.54,925817
2021-02-25,154.26,155.31,152.73,153.51,499523
2021-02-26,152.55,153.49,151.23,154.05,439646
2021-02-27,152.98,154.53,152.06,153.2,88665
2021-02-28,154.25,154.91,152.78,153.74,302535
2021-03-01,155.67,156.78,154.9,155.44,27611
2021-03-02,155.35,157.0,154.84,155.68,524872
2021-03-03,157.25,158.22,156.45,159.21,749326
2021-03-04,158.26,159.59,157.11,155.72,493986
2021-03-05,157.25,158.68,156.12,157.46,639754
2021-03-06,157.76,159.15,156.47,155.4,900532
2021-03-07,158.15,159.78,157.37,157.73,989860
2021-03-08,159.03,160.14,157.2,159.66,772655
2021-03-09,159.41,160.71,158.09,156.75,101926
2021-03-10,159.01,160.2,158.37,157.71,156353
2021-03-11,157.41,158.49,156.77,156.79,812143
2021-03-12,157.18,159.09,155.25,157.47,544958
2021-03-13,156.11,157.47,155.29,156.48,364174
2021-03-14,154.69,155.32,152.86,153.32,335137
2021-03-15,156.14,157.41,154.98,156.66,756579
2021-03-16,155.59,157.35,154.87,154.72,365470
2021-03-17,154.49,156.23,152.81,153.28,664089
2021-03-18,156.72,157.51,156.13,154.62,137864
2021-03-19,158.77,159.72,158.02,158.23,170342
2021-03-20,159.02,160.78,158.21,159.69,323098
2021-03-21,160.46,161.76,158.49,159.64,694749
2021-03-22,160.2,161.51,158.21,158.95,297451
2021-03-23,161.29,161.81,160.14,160.77,44589
2021-03-24,161.71,163.19,160.94,162.3,622027
2021-03-25,161.89,163.2,161.03,161.14,393998
2021-03-26,163.31,164.13,161.85,162.61,136865
2021-03-27,164.08,164.96,162.36,163.57,688233
2021-03-28,163.08,164.46,161.7,164.15,183642
2021-03-29,163.37,164.59,162.47,164.2,307681
2021-03-30,162.58,164.16,161.82,162.89,961366
2021-03-31,163.17,164.49,162.5,163.35,76416
2021-04-01,163.72,164.35,161.89,164.62,676667
2021-04-02,163.16,164.08,161.81,163.42,86718
2021-04-03,161.91,162.99,160.54,160.97,315622
2021-04-04,162.05,162.82,161.09,161.88,292438
2021-04-05,162.15,162.95,161.61,162.35,498085
2021-04-06,161.93,163.83,160.87,161.13,991981
2021-04-07,161.3,161.93,160.52,160.39,916673
2021-04-08,160.52,161.65,159.9,159.87,336749
2021-04-09,159.95,161.25,158.91,160.41,310466
2021-04-10,158.27,160.22,156.46,159.38,345212
2021-04-11,158.93,160.0,158.08,158.05,828935
2021-04-12,159.55,160.48,158.9,159.22,725865
2021-04-13,160.61,162.47,159.63,160.1,950845
2021-04-14,161.57,162.84,159.81,162.33,164270
2021-04-15,161.58,162.4,160.97,159.94,364461
2021-04-16,162.77,163.73,161.04,163.93,296021
2021-04-17,163.63,164.42,162.0,164.59,280703
2021-04-18,165.24,167.06,163.4,165.78,431021
2021-04-19,166.25,166.89,165.26,165.35,414388
2021-04-20,167.09,168.21,165.56,166.46,345317
2021-04-21,167.83,169.23,166.25,167.91,292994
2021-04-22,167.35,169.13,165.76,166.68,338612
2021-04-23,167.17,167.72,165.61,166.59,257862
2021-04-24,167.12,168.75,165.34,168.85,677412
2021-04-25,166.49,168.15,164.6,166.59,513711
2021-04-26,165.78,166.33,163.78,165.49,264614
2021-04-27,166.34,167.73,165.37,166.3,640861
2021-04-28,166.39,167.05,165.03,167.11,49428
2021-04-29,166.13,167.71,165.35,167.49,16520
2021-04-30,165.56,167.34,164.13,164.62,339389
2021-05-01,166.42,167.1,165.66,166.59,338331
2021-05-02,165.86,166.5,164.24,165.59,158896
2021-05-03,165.51,166.75,164.19,167.11,98445
2021-05-04,164.55,166.08,163.85,165.07,559543
2021-05-05,164.19,165.76,163.38,162.91,837420
2021-05-06,163.18,163.72,162.43,163.26,982292
2021-05-07,163.21,164.29,162.03,162.35,392061
2021-05-08,163.52,165.22,162.3,164.26,142124
2021-05-09,162.86,163.93,161.9,162.14,715887
2021-05-10,162.14,163.76,161.13,163.54,299217
2021-05-11,161.03,162.72,160.47,161.21,542358
2021-05-12,162.08,163.78,160.98,162.8,850533
2021-05-13,163.97,165.88,162.45,164.03,878155
2021-05-14,164.62,166.46,163.22,163.44,452994
2021-05-15,164.23,165.86,162.56,162.69,873271
2021-05-16,164.45,165.03,163.32,165.54,816664
2021-05-17,164.52,165.03,162.66,162.17,378937
2021-05-18,164.95,166.46,164.38,167.19,20999
2021-05-19,165.82,166.6,164.1,164.88,352386
2021-05-20,164.68,165.71,164.16,164.14,28485
2021-05-21,166.58,167.99,165.19,166.91,339245
2021-05-22,167.02,167.99,165.08,167.62,360265
2021-05-23,166.12,167.33,164.84,165.65,828448
2021-05-24,165.68,166.37,164.4,165.0,437600
2021-05-25,166.09,167.37,165.09,165.04,136994
2021-05-26,166.47,168.01,164.64,165.9,355507
2021-05-27,165.88,166.52,165.06,165.77,853394
2021-05-28,165.32,167.12,164.27,166.46,376794
2021-05-29,165.88,166.4,165.37,164.25,496865
2021-05-30,166.18,166.99,165.62,166.22,491849
2021-05-31,166.17,167.09,164.54,165.28,158617
2021-06-01,166.65,168.27,165.97,166.43,310370
2021-06-02,166.82,168.73,165.19,167.37,909249
2021-06-03,167.21,168.16,166.2,168.08,421685
2021-06-04,165.58,167.02,163.98,165.45,11147
2021-06-05,167.52,168.5,166.86,166.0,449102
2021-06-06,166.73,168.51,165.03,167.14,317782
2021-06-07,167.94,169.11,167.05,167.69,917844
2021-06-08,167.57,169.49,166.07,170.18,298496
2021-06-09,166.08,167.32,165.39,165.3,303209
2021-06-10,164.49,166.2,163.77,164.63,155257
2021-06-11,164.13,165.38,162.45,163.86,338241
2021-06-12,163.36,164.08,162.56,164.65,628218
2021-06-13,164.14,165.43,163.44,165.2,512135
2021-06-14,163.32,164.18,161.88,163.26,627949
2021-06-15,162.87,164.61,161.78,160.87,234217
2021-06-16,164.49,165.86,163.13,164.92,273659
2021-06-17,163.11,163.72,162.32,162.75,611774
2021-06-18,162.71,164.2,161.33,161.09,13802
2021-06-19,162.41,163.33,160.69,161.33,393457
2021-06-20,161.63,162.92,160.01,163.35,893777
